# 3.9 AVX512 Instructions
# The AVX512 instructions includes the following subsets:
# AVX512BW    Vector Byte and Word Instructions
# AVX512DQ    Doubleword and Quadword Instructions
# AVX512VL    Vector Length Extensions
# AVX512CD    Conflict Detection Instructions
# AVX512ER    Exponential and Reciprocal Instructions
# AVX512IFMA  Integer Fused Multiply-Add Instructions
# AVX512PF    Prefetch Instructions
# AVX512VBMI  Vector Bit Manipulation Instructions
# Table 26  AVX512 Instructions
Intel/AMD Mnemonic		CPUID Feature Flag Description
VFMADDSUB213PS	AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMADDSUB231PD	AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMADDSUB231PS	AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMSUB132PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMSUB132PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMSUB213PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMSUB213PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMSUB231PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMSUB231PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMSUBADD132PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMSUBADD132PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMSUBADD213PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMSUBADD213PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMSUBADD231PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMSUBADD231PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFNMADD132PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFNMADD132PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFNMADD213PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFNMADD213PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFNMADD231PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFNMADD231PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFNMSUB132PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFNMSUB132PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFNMSUB213PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFNMSUB213PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFNMSUB231PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFNMSUB231PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFPCLASSPD		AVX512VL AVX512DQ Tests Types Of a Packed Float64 Values
VFPCLASSPS		AVX512VL AVX512DQ Tests Types Of a Packed Float32 Values
VFPCLASSSD		AVX512DQ Tests Types Of a Scalar Float64 Values
VFPCLASSSS		AVX512DQ Tests Types Of a Scalar Float32 Values
VGATHERDPD		AVX512VL Gather Packed DP FP Values Using Signed Dword/Qword Indices
VGATHERDPS		AVX512VL Gather Packed SP FP Values Using Signed Dword/Qword Indices
VGATHERPF0DPD		AVX512PF Parse Prefetch Packed SP/DP Data Values with Signed Dword, Signed Qword Indices Using T0 Hint
VGATHERPF0DPS		AVX512PF Parse Prefetch Packed SP/DP Data Values with Signed Dword, Signed Qword Indices Using T0 Hint
VGATHERPF0QPD		AVX512PF Parse Prefetch Packed SP/DP Data Values with Signed Dword, Signed Qword Indices Using T0 Hint
VGATHERPF0QPS		AVX512PF Parse Prefetch Packed SP/DP Data Values with Signed Dword, Signed Qword Indices Using T0 Hint
VGATHERPF1DPD		AVX512PF Sparse Prefetch Packed SP/DP Data Values with Signed Dword, Signed Qword Indices Using T1 Hint
VGATHERPF1DPS		AVX512PF Sparse Prefetch Packed SP/DP Data Values with Signed Dword, Signed Qword Indices Using T1 Hint
VGATHERPF1QPD		AVX512PF Sparse Prefetch Packed SP/DP Data Values with Signed Dword, Signed Qword Indices Using T1 Hint
VGATHERPF1QPS		AVX512PF Sparse Prefetch Packed SP/DP Data Values with Signed Dword, Signed Qword Indices Using T1 Hint
VGATHERQPD		AVX512VL Gather Packed Single, Packed Double with Signed Qword Indices
VGATHERQPS		AVX512VL Gather Packed Single, Packed Double with Signed Qword Indices
VGETEXPPD		AVX512VL Convert Exponents of Packed DP FP Values to DP FP Values
VGETEXPPS		AVX512VL Convert Exponents of Packed SP FP Values to SP FP Values
VGETMANTPD		AVX512VL Extract Float64 Vector of Normalized Mantissas from Float64 Vector
VGETMANTPS		AVX512VL Extract Float32 Vector of Normalized Mantissas from Float32 Vector
VINSERTF32X4		AVX512VL Insert Packed Floating-Point Values
VINSERTF32X8		AVX512DQ Insert Packed Floating-Point Values
VINSERTF64X2		AVX512DQ AVX512VL Insert Packed Floating-Point Values
VINSERTI32X4		AVX512VL Insert Packed Integer Values
VINSERTI32X8		AVX512DQ Insert Packed Integer Values
VINSERTI64X2		AVX512DQ AVX512VL Insert Packed Integer Values
VMAXPD		AVX512VL Maximum of Packed Double-Precision Floating-Point Values
VMAXPS		AVX512VL Maximum of Packed Single-Precision Floating-Point Values
VMINPD		AVX512VL Minimum of Packed Double-Precision Floating-Point Values
VMINPS		AVX512VL Minimum of Packed Single-Precision Floating-Point Values
VMOVAPD		AVX512VL Move Aligned Packed Double-Precision Floating-Point Values
VMOVAPS		AVX512VL Move Aligned Packed Single-Precision Floating-Point Values
VMOVDDUP		AVX512VL Replicate Double FP Values
VMOVDQA32		AVX512VL Move Aligned Packed Integer Values
VMOVDQA64		AVX512VL Move Aligned Packed Integer Values
VMOVDQU16		AVX512VL AVX512BW Move Unaligned Packed Integer Values
VMOVDQU32		AVX512VL Move Unaligned Packed Integer Values
VMOVDQU64		AVX512VL Move Unaligned Packed Integer Values
VMOVDQU8		AVX512BW AVX512VL Move Unaligned Packed Integer Values
VMOVNTDQ		AVX512VL Store Packed Integers Using Non-Temporal Hint
VMOVNTDQA		AVX512VL Load Double Quadword Non-Temporal Aligned Hint
VMOVNTPD		AVX512VL Store Packed Double-Precision Floating-Point Values Using Non-Temporal Hint
VMOVNTPS		AVX512VL Store Packed Single-Precision Floating-Point Values Using Non-Temporal Hint
VMOVSHDUP		AVX512VL Replicate Single FP Values
VMOVSLDUP		AVX512VL Replicate Single FP Values
VMOVUPD		AVX512VL Move Unaligned Packed Double-Precision Floating-Point Values
VMOVUPS		AVX512VL Move Unaligned Packed Single-Precision Floating-Point Values
VMULPD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VMULPS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VORPD		AVX512DQ AVX512VL Bitwise Logical OR of Packed Double Precision Floating-Point Values
VORPS		AVX512DQ AVX512VL Bitwise Logical OR of Packed Single Precision Floating-Point Values
VPABSB		AVX512VL AVX512BW Packed Absolute Value
VPABSD		AVX512VL Packed Absolute Value
VPABSQ		AVX512VL Packed Absolute Value
VPABSW		AVX512VL AVX512BW Packed Absolute Value
VPACKSSDW		AVX512VL AVX512BW Pack with Signed Saturation
VPACKSSWB		AVX512VL AVX512BW Pack with Signed Saturation
VPACKUSDW		AVX512VL AVX512BW Pack with Unsigned Saturation
VPACKUSWB		AVX512VL AVX512BW Pack with Unsigned Saturation
VPADDB		AVX512BW AVX512VL Add Packed Integers
VPADDD		AVX512VL Add Packed Integers
VPADDQ		AVX512VL Add Packed Integers
VPADDSB		AVX512VL AVX512BW Add Packed Signed Integers with Signed Saturation
VPADDSW		AVX512VL AVX512BW Add Packed Signed Integers with Signed Saturation
VPADDUSB	AVX512VL AVX512BW Add Packed Unsigned Integers with Unsigned Saturation
VPADDUSW	AVX512VL AVX512BW Add Packed Unsigned Integers with Unsigned Saturation
VPADDW		AVX512BW AVX512VL Add Packed Integers
VPALIGNR	AVX512BW AVX512VL Packed Align Right
VPANDD		AVX512VL Logical AND
VPANDND		AVX512VL Logical AND NOT
VPANDNQ		AVX512VL Logical AND NOT
VPANDQ		AVX512VL Logical AND
VPAVGB		AVX512BW AVX512VL Average Packed Integers
VPAVGW		AVX512BW AVX512VL Average Packed Integers
VPBLENDMB		AVX512VL AVX512BW Blend Byte/Word Vectors Using an OpMask Control
VPBLENDMD		AVX512VL Blend Int32/Int64 Vectors Using an OpMask Control
VPBLENDMQ		AVX512VL Blend Int32/Int64 Vectors Using an OpMask Control
VPBLENDMW		AVX512VL AVX512BW Blend Byte/Word Vectors Using an OpMask Control
VPBROADCASTB		AVX512VL AVX512BW Load with Broadcast Integer Data from General Purpose Register
VPBROADCASTD		AVX512VL Load with Broadcast Integer Data from General Purpose Register
VPBROADCASTMB2Q		AVX512VL AVX512CD Broadcast Mask to Vector Register
VPBROADCASTMW2D		AVX512VL AVX512CD Broadcast Mask to Vector Register
VPBROADCASTQ		AVX512VL Load with Broadcast Integer Data from General Purpose Register
VPBROADCASTW		AVX512VL AVX512BW Load with Broadcast Integer Data from General Purpose Register
VPCMPB		    AVX512BW AVX512VL Compare Packed Byte Values Into Mask
VPCMPD		    AVX512VL Compare Packed Integer Values into Mask
VPCMPEQQ		AVX512VL Compare Packed Qword Data for Equal
VPCMPGTB		AVX512VL AVX512BW Compare Packed Signed Integers for Greater Than
VPCMPGTD		AVX512VL Compare Packed Signed Integers for Greater Than
VPCMPGTQ		AVX512VL Compare Packed Data for Greater Than
VPCMPGTW		AVX512VL AVX512BW Compare Packed Signed Integers for Greater Than
VPCMPQ		AVX512VL Compare Packed Integer Values into Mask
VPCMPUB		AVX512VL AVX512BW Compare Packed Byte Values Into Mask
VPCMPUD		AVX512VL Compare Packed Integer Values into Mask
VPCMPUQ		AVX512VL Compare Packed Integer Values into Mask
VPCMPUW		AVX512VL AVX512BW Compare Packed Word Values Into Mask
VPCMPW		AVX512BW AVX512VL Compare Packed Word Values Into Mask
VPCOMPRESSD		AVX512VL Store Sparse Packed Doubleword Integer Values into Dense Memory/Register
VPCOMPRESSQ		AVX512VL Store Sparse Packed Quadword Integer Values into Dense Memory/Register
VPCONFLICTD		AVX512VL AVX512CD Detect Conflicts Within a Vector of Packed Dword/Qword Values into Dense Memory/ Register
VPCONFLICTQ		AVX512VL AVX512CD Detect Conflicts Within a Vector of Packed Dword/Qword Values into Dense Memory/ Register
VPERMD		    AVX512VL Permute Packed Doublewords/Words Elements
VPERMI2B		AVX512VL AVX512VBMI Full Permute of Bytes from Two Tables Overwriting the Index
VPERMI2D		AVX512VL Full Permute From Two Tables Overwriting the Index
VPERMI2PD		AVX512VL Full Permute From Two Tables Overwriting the Index
VPERMI2PS		AVX512VL Full Permute From Two Tables Overwriting the Index
VPERMI2Q		AVX512VL Full Permute From Two Tables Overwriting the Index
VPERMI2W		AVX512VL AVX512BW Full Permute From Two Tables Overwriting the Index
VPERMILPD		AVX512VL Permute In-Lane of Pairs of Double-Precision Floating-Point Values
VPERMILPS		AVX512VL Permute In-Lane of Quadruples of Single-Precision Floating-Point Values
VPERMPD		    AVX512VL Permute Double-Precision Floating-Point Elements
VPERMPS		    AVX512VL Permute Single-Precision Floating-Point Elements
VPERMQ		    AVX512VL Qwords Element Permutation
VPERMT2B		AVX512VL AVX512VBMI Full Permute of Bytes from Two Tables Overwriting a Table
VPERMT2D		AVX512VL Full Permute from Two Tables Overwriting one Table
VPERMT2PD		AVX512VL Full Permute from Two Tables Overwriting one Table
VPERMT2PS		AVX512VL Full Permute from Two Tables Overwriting one Table
VPERMT2Q		AVX512VL Full Permute from Two Tables Overwriting one Table
VPERMT2W		AVX512VL AVX512BW Full Permute from Two Tables Overwriting one Table
VPERMW		    AVX512VL AVX512BW Permute Packed Doublewords/Words Elements
VPEXPANDD		AVX512VL Load Sparse Packed Doubleword Integer Values from Dense Memory / Register
VPEXPANDQ		AVX512VL Load Sparse Packed Quadword Integer Values from Dense Memory / Register
VPEXTRB		    AVX512BW Extract Byte/Dword/Qword
VPEXTRD		    AVX512DQ Extract Byte/Dword/Qword
VPGATHERDD		AVX512VL Gather Packed Dword Values Using Signed Dword/Qword Indices
VPGATHERDQ		AVX512VL Gather Packed Dword, Packed Qword with Signed Dword Indices
VPGATHERQD		AVX512VL Gather Packed Dword, Packed Qword with Signed Qword Indices
VPGATHERQQ		AVX512VL Gather Packed Dword, Packed Qword with Signed Qword Indices
VPINSRB		    AVX512BW Insert Byte
VPINSRD		    AVX512DQ Insert DWord
VPINSRQ		    AVX512DQ Insert QWord
VPINSRW		    AVX512BW Insert Word
VPLZCNTD		AVX512CD AVX512VL Count the Number of Leading Zero Bits for Packed Dword, Packed Qword Values
VPLZCNTQ		AVX512CD AVX512VL Count the Number of Leading Zero Bits for Packed Dword, Packed Qword Values
VPMADD52HUQ		AVX512VL AVX512IFMA Packed Multiply of Unsigned 52-bit Unsigned Integers and Add High 52-bit Products to 64-bit Accumulators
VPMADD52LUQ		AVX512VL AVX512IFMA Packed Multiply of Unsigned 52-bit Integers and Add the Low 52-bit Products to Qword Accumulators
VPMADDUBSW		AVX512VL AVX512BW Multiply and Add Packed Signed and Unsigned Bytes
VPMADDWD		AVX512BW AVX512VL Multiply and Add Packed Integers
VPMAXSB		AVX512BW AVX512VL Maximum of Packed Signed Byte Integers
VPMAXSD		AVX512VL Maximum of Packed Signed Dword Integers
VPMAXSQ		AVX512VL Maximum of Packed Signed Qword Integers
VPMAXSW		AVX512VL AVX512BW Maximum of Packed Signed Word Integers
VPMAXUB		AVX512VL AVX512BW Maximum of Packed Unsigned Byte Integers
VPMAXUD		AVX512VL Maximum of Packed Unsigned Dword Integers
VPMAXUQ		AVX512VL Maximum of Packed Unsigned QWord Integers
VPMAXUW		AVX512VL AVX512BW Maximum of Packed Unsigned Word Integers
VPMINSB		AVX512VL AVX512BW Minimum of Packed Signed Byte Integers
VPMINSD		AVX512VL Minimum of Packed Signed DWord Integers
VPMINSQ		AVX512VL Minimum of Packed Signed QWord Integers
VPMINSW		AVX512VL AVX512BW Minimum of Packed Signed Word Integers
VPMINUB		AVX512VL AVX512BW Minimum of Packed Unsigned Byte Integers
VPMINUD		AVX512VL Minimum of Packed Unsigned DWord Integers
VPMINUQ		AVX512VL Minimum of Packed Unsigned QWord Integers
VPMINUW		AVX512VL AVX512BW Minimum of Packed Unsigned Word Integers
VPMOVB2M	AVX512VL AVX512BW Convert a Vector Register to a Mask
VPMOVD2M	AVX512VL AVX512DQ Convert a Vector Register to a Mask
VPMOVDB		AVX512VL Down Convert DWord to Byte
VPMOVDW		AVX512VL Down Convert DWord to Word
VPMOVM2B		AVX512VL AVX512BW Convert a Mask Register to a Vector Register
VPMOVM2D		AVX512DQ AVX512VL Convert a Mask Register to a Vector Register
VPMOVM2Q		AVX512DQ AVX512VL Convert a Mask Register to a Vector Register
VPMOVM2W		AVX512VL AVX512BW Convert a Mask Register to a Vector Register
VPMOVQ2M		AVX512VL AVX512DQ Convert a Vector Register to a Mask
VPMOVQB		AVX512VL Down Convert QWord to Byte
VPMOVQD		AVX512VL Down Convert QWord to DWord
VPMOVQW		AVX512VL Down Convert QWord to Word
VPMOVSDB		AVX512VL Down Convert DWord to Byte
VPMOVSDW		AVX512VL Down Convert DWord to Word
VPMOVSQB		AVX512VL Down Convert QWord to Byte
VPMOVSQD		AVX512VL Down Convert QWord to DWord
VPMOVSQW		AVX512VL Down Convert QWord to Word
VPMOVSWB		AVX512BW AVX512VL Down Convert Word to Byte
VPMOVSXBD		AVX512VL Packed Move Sign Extend - Byte to Dword
VPMOVSXBQ		AVX512VL Packed Move Sign Extend - Byte to Qword
VPMOVSXBW		AVX512VL AVX512BW Packed Move Sign Extend - Byte to Word
VPMOVSXDQ		AVX512VL Packed Move Sign Extend - Dword to Qword
VPMOVSXWD		AVX512VL Packed Move Sign Extend - Word to Dword
VPMOVSXWQ		AVX512VL Packed Move Sign Extend - Word to Qword
VPMOVUSDB		AVX512VL Down Convert DWord to Byte
VPMOVUSDW		AVX512VL Down Convert DWord to Word
VPMOVUSQB		AVX512VL Down Convert QWord to Byte
VPMOVUSQD		AVX512VL Down Convert QWord to DWord
VPMOVUSQW		AVX512VL Down Convert QWord to Word
VPMOVUSWB		AVX512VL AVX512BW Down Convert Word to Byte
VPMOVW2M		AVX512VL AVX512BW Convert a Vector Register to a Mask
VPMOVWB		    AVX512VL AVX512BW Down Convert Word to Byte
VPMOVZXBD		AVX512VL Packed Move Zero Extend - Byte to Dword
VPMOVZXBQ		AVX512VL Packed Move Zero Extend - Byte to Qword
VPMOVZXBW		AVX512VL AVX512BW Packed Move Zero Extend - Byte to Word
VPMOVZXDQ		AVX512VL Packed Move Zero Extend - Dword to Qword
VPMOVZXWD		AVX512VL Packed Move Zero Extend - Word to Dword
VPMOVZXWQ		AVX512VL Packed Move Zero Extend - Word to Qword
VPMULDQ		    AVX512VL Multiply Packed Signed Dword Integers
VPMULHRSW		AVX512VL AVX512BW Packed Multiply High with Round and Scale
VPMULHUW		AVX512BW AVX512VL Multiply Packed Unsigned Integers and Store High Result
VPMULHW		    AVX512VL AVX512BW Multiply Packed Signed Integers and Store High Result
VPMULLD		    AVX512VL Multiply Packed Signed Dword Integers, Store Low Result
VPMULLQ		    AVX512DQ AVX512VL Multiply Packed Integers and Store Low Result
VPMULLW		    AVX512VL AVX512BW Multiply Packed Signed Integers and Store Low Result
VPMULTISHIFTQB	AVX512VL AVX512VBMI Select Packed Unaligned Bytes from Quadword Sources
VPMULUDQ		AVX512VL Multiply Packed Unsigned Doubleword Integers
VPORD		AVX512VL Bitwise Logical OR
VPORQ		AVX512VL Bitwise Logical OR
VPROLD		AVX512VL Bit Rotate Left
VPROLQ		AVX512VL Bit Rotate Left
VPROLVD		AVX512VL Bit Rotate Left
VPROLVQ		AVX512VL Bit Rotate Left
VPRORD		AVX512VL Bit Rotate Right
VPRORQ		AVX512VL Bit Rotate Right
VPRORVD		AVX512VL Bit Rotate Right
VPRORVQ		AVX512VL Bit Rotate Right
VPSADBW		AVX512VL AVX512BW Compute Sum of Absolute Differences
VPSCATTERDD		AVX512VL Scatter Packed Dword with Signed Dword Indices
VPSCATTERDQ		AVX512VL Scatter Packed Qword with Signed Dword Indices
VPSCATTERQD		AVX512VL Scatter Packed Dword with Signed Qword Indices
VPSCATTERQQ		AVX512VL Scatter Packed Qword with Signed Qword Indices
VPSHUFB		AVX512VL AVX512BW Packed Shuffle Bytes
VPSHUFD		AVX512VL Shuffle Packed Doublewords
